house_direction,property_legal_document,Đường,Tỉnh,Phường,price_per_m2,area,bedroom,toilet
Đông Bắc,Hợp đồng mua bán, N1,Hồ Chí Minh, Phường Sơn Kỳ,52.38,63.0,2,1
Đông Nam,Đang chờ sổ,Dương Thị Giang,Hồ Chí Minh, Phường Tân Thới Nhất,27.27,71.5,2,2
Đông Nam,Sổ hồng riêng,Tâm Trinh,Hà Nội, Phường Mai Động,49.33,75.0,2,0
Đông Nam,Hợp đồng mua bán,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),47.62,105.0,3,2
Tây,Sổ hồng riêng, Tân Thới Hòa,Hồ Chí Minh, Phường Tân Thới Hòa,43.84,73.0,2,2
Đông Bắc,Đang chờ sổ,Nguyễn Thị Búp,Hồ Chí Minh, Phường Hiệp Thành,32.14,70.0,2,2
Tây Nam,Sổ hồng riêng,Đường Điện Biên Phủ,Hồ Chí Minh, Phường 25,18.33,78.0,2,2
Đông Nam,Sổ hồng riêng,Tâm Trinh,Hà Nội, Phường Mai Động,49.33,75.0,2,0
Đông Nam,Hợp đồng mua bán,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),47.62,105.0,3,2
Tây,Sổ hồng riêng, Tân Thới Hòa,Hồ Chí Minh, Phường Tân Thới Hòa,43.84,73.0,2,2
Đông Bắc,Đang chờ sổ,Nguyễn Thị Búp,Hồ Chí Minh, Phường Hiệp Thành,32.14,70.0,2,2
Tây Nam,Sổ hồng riêng,Đường Điện Biên Phủ,Hồ Chí Minh, Phường 25,18.33,78.0,2,2
Đông Nam,Sổ hồng riêng,Tâm Trinh,Hà Nội, Phường Mai Động,49.33,75.0,2,0
Đông Nam,Hợp đồng mua bán,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),47.62,105.0,3,2
Tây,Sổ hồng riêng, Tân Thới Hòa,Hồ Chí Minh, Phường Tân Thới Hòa,43.84,73.0,2,2
Đông Bắc,Đang chờ sổ,Nguyễn Thị Búp,Hồ Chí Minh, Phường Hiệp Thành,32.14,70.0,2,2
Tây Nam,Sổ hồng riêng,Đường Điện Biên Phủ,Hồ Chí Minh, Phường 25,18.33,78.0,2,2
Đông Nam,Sổ hồng riêng,Tâm Trinh,Hà Nội, Phường Mai Động,49.33,75.0,2,0
Đông Nam,Hợp đồng mua bán,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),47.62,105.0,3,2
Tây,Sổ hồng riêng, Tân Thới Hòa,Hồ Chí Minh, Phường Tân Thới Hòa,43.84,73.0,2,2
Đông Bắc,Đang chờ sổ,Nguyễn Thị Búp,Hồ Chí Minh, Phường Hiệp Thành,32.14,70.0,2,2
Tây Nam,Sổ hồng riêng,Đường Điện Biên Phủ,Hồ Chí Minh, Phường 25,18.33,78.0,2,2
Đông Nam,Sổ hồng riêng,Tâm Trinh,Hà Nội, Phường Mai Động,49.33,75.0,2,0
Đông Nam,Hợp đồng mua bán,Lương Định Của,Hồ Chí Minh, Phường An Khánh (Quận 2 cũ),47.62,105.0,3,2
Tây,Sổ hồng riêng, Tân Thới Hòa,Hồ Chí Minh, Phường Tân Thới Hòa,43.84,73.0,2,2
Đông Bắc,Đang chờ sổ,Nguyễn Thị Búp,Hồ Chí Minh, Phường Hiệp Thành,32.14,70.0,2,2
Tây Nam,Sổ hồng riêng,Đường Điện Biên Phủ,Hồ Chí Minh, Phường 25,18.33,78.0,2,2
Đông Nam,Sổ hồng riêng,Tâm Trinh,Hà Nội, Phường Mai Động,49.33,75.0,2,0
Tây Nam,Sổ hồng riêng,Phan Văn Trị,Hồ Chí Minh, Phường 10,43.01,93.0,2,2
Tây Nam,Đang chờ sổ, Trung Mỹ Tây 2A,Hồ Chí Minh, Phường Trung Mỹ Tây,27.34,64.0,2,2
Đông Nam,Sổ hồng riêng, Nguyễn Tất Thành,Hồ Chí Minh, Phường 18,45.63,80.0,2,2
Đông,Sổ hồng riêng, Đường Lê Đức Thọ,Hà Nội, Phường Mai Dịch,51.41,71.0,2,0
Đông,Sổ hồng riêng,Nguyễn Hữu Thọ,Hồ Chí Minh, Xã Phước Kiển,23.55,121.0,3,2
Tây Nam,Sổ hồng riêng, Hồ Chí Minh,Hồ Chí Minh, Xã Phong Phú,34.31,65.58,2,2
Nam,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,57.26,117.0,3,2
Tây,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,73.43,143.0,4,3
Nam,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,53.75,80.0,2,2
Bắc,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,54.6,87.0,2,2
Tây,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,73.43,143.0,4,3
Bắc,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Minh Khai,62.22,90.0,3,3
Nam,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,54.74,95.0,3,2
Nam,Sổ hồng riêng, minh khai,Hà Nội, Phường Vĩnh Tuy,52.45,53.0,1,1
Nam,Sổ hồng riêng, Minh Khai,Hà Nội, Phường Vĩnh Tuy,47.95,83.0,2,2
